State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
Chhattisgarh,2021,1,Recharge & bill payments,8456094,3000977538.84
Chhattisgarh,2021,1,Financial Services,37395,40387648.84
Chhattisgarh,2021,1,Others,99031,68111552.62
Chhattisgarh,2021,2,Peer-to-peer payments,18387345,62134058797.44
Chhattisgarh,2021,2,Merchant payments,15369311,12828590761.71
Chhattisgarh,2021,2,Recharge & bill payments,10764784,3640692364.17
Chhattisgarh,2021,2,Financial Services,40213,39620256.36
Chhattisgarh,2021,2,Others,127767,85809079.55
Chhattisgarh,2021,3,Merchant payments,27552743,19905616746.81
Chhattisgarh,2021,3,Peer-to-peer payments,25447410,80506858751.33
Chhattisgarh,2021,3,Recharge & bill payments,11039088,4045490947.24
Chhattisgarh,2021,3,Financial Services,38817,48855662.4
Chhattisgarh,2021,3,Others,159880,99286155.0
Chhattisgarh,2021,4,Merchant payments,40526025,29283695601.23
Chhattisgarh,2021,4,Peer-to-peer payments,32799167,102177997315.68
Chhattisgarh,2021,4,Recharge & bill payments,11115444,4724827139.95
Chhattisgarh,2021,4,Financial Services,55237,66445873.3
Chhattisgarh,2021,4,Others,221621,146144588.65
Chhattisgarh,2022,1,Merchant payments,48236094,33822547183.04
Chhattisgarh,2022,1,Peer-to-peer payments,37457039,118393860520.57
Chhattisgarh,2022,1,Recharge & bill payments,11466264,5442872986.11
Chhattisgarh,2022,1,Financial Services,52918,55991695.31
Chhattisgarh,2022,1,Others,200977,131773069.8
Chhattisgarh,2022,2,Merchant payments,61093916,41536371583.75
Chhattisgarh,2022,2,Peer-to-peer payments,42532112,133534947239.25
Chhattisgarh,2022,2,Recharge & bill payments,12737942,5949415519.84
Chhattisgarh,2022,2,Financial Services,41530,46037703.16
Chhattisgarh,2022,2,Others,178548,114905117.78
Chhattisgarh,2022,3,Merchant payments,84355775,50874051122.37
Chhattisgarh,2022,3,Peer-to-peer payments,57116149,161027214428.21
Chhattisgarh,2022,3,Recharge & bill payments,16538894,8069941553.08
Chhattisgarh,2022,3,Financial Services,55775,61881709.74
Chhattisgarh,2022,3,Others,185994,128469268.6
Chhattisgarh,2022,4,Merchant payments,97405954,60247141797.95
Chhattisgarh,2022,4,Peer-to-peer payments,63986789,183672880692.73
Chhattisgarh,2022,4,Recharge & bill payments,16324117,8376603987.15
Chhattisgarh,2022,4,Financial Services,63695,81169069.23
Chhattisgarh,2022,4,Others,179891,141385263.41
Chhattisgarh,2023,1,Merchant payments,115821237,68619935279.0
Chhattisgarh,2023,1,Peer-to-peer payments,76752033,221082684005.0
Chhattisgarh,2023,1,Recharge & bill payments,21896029,11162940453.0
Chhattisgarh,2023,1,Financial Services,72038,65398770.0
Chhattisgarh,2023,1,Others,207620,157977952.0
Chhattisgarh,2023,2,Merchant payments,138222517,78172761996.0
Chhattisgarh,2023,2,Peer-to-peer payments,86887081,243032806463.0
Chhattisgarh,2023,2,Recharge & bill payments,24550623,11714283831.0
Chhattisgarh,2023,2,Financial Services,77813,90235297.0
Chhattisgarh,2023,2,Others,193602,146759167.0
Chhattisgarh,2023,3,Merchant payments,161142673,85645642195.0
Chhattisgarh,2023,3,Peer-to-peer payments,97060888,251466237009.0
Chhattisgarh,2023,3,Recharge & bill payments,25011103,13000613447.0
Chhattisgarh,2023,3,Financial Services,95807,131864372.0
Chhattisgarh,2023,3,Others,182186,135322503.0
Chhattisgarh,2023,4,Merchant payments,185440451,102326470529.0
Chhattisgarh,2023,4,Peer-to-peer payments,110795079,287452814383.0
Chhattisgarh,2023,4,Recharge & bill payments,25330600,13898322691.0
Chhattisgarh,2023,4,Financial Services,115404,174278673.0
Chhattisgarh,2023,4,Others,194798,133148269.0
Chhattisgarh,2024,1,Merchant payments,212194065,116463019844.0
Chhattisgarh,2024,1,Peer-to-peer payments,124567252,329976785438.0
Chhattisgarh,2024,1,Recharge & bill payments,29121761,16237500799.0
Chhattisgarh,2024,1,Financial Services,117960,205227725.0
Chhattisgarh,2024,1,Others,175646,127276095.0
Chhattisgarh,2024,2,Merchant payments,245595547,132662738857.0
Chhattisgarh,2024,2,Peer-to-peer payments,134658010,346912119555.0
Chhattisgarh,2024,2,Recharge & bill payments,31469605,16306210818.0
Chhattisgarh,2024,2,Financial Services,148570,297328748.0
Chhattisgarh,2024,2,Others,175973,135034441.0
Chhattisgarh,2024,3,Merchant payments,267508081,136419004302.0
Chhattisgarh,2024,3,Peer-to-peer payments,146302685,342236114715.0
Chhattisgarh,2024,3,Recharge & bill payments,29502494,18226578889.0
Chhattisgarh,2024,3,Financial Services,179562,354020024.0
Chhattisgarh,2024,3,Others,147280,124415828.0
Chhattisgarh,2024,4,Merchant payments,304445323,159212481149.0
Chhattisgarh,2024,4,Peer-to-peer payments,166465519,398345139636.0
Chhattisgarh,2024,4,Recharge & bill payments,29120062,18801380994.0
Chhattisgarh,2024,4,Financial Services,477311,324186192.0
Chhattisgarh,2024,4,Others,147189,145256654.0
Dadra & Nagar Haveli & Daman & Diu,2018,1,Recharge & bill payments,95544,17526369.58
Dadra & Nagar Haveli & Daman & Diu,2018,1,Peer-to-peer payments,44599,151966933.25
Dadra & Nagar Haveli & Daman & Diu,2018,1,Merchant payments,1531,1580762.78
Dadra & Nagar Haveli & Daman & Diu,2018,1,Financial Services,1364,353171.55
Dadra & Nagar Haveli & Daman & Diu,2018,1,Others,5511,4231146.95
Dadra & Nagar Haveli & Daman & Diu,2018,2,Recharge & bill payments,122834,30595592.01
Dadra & Nagar Haveli & Daman & Diu,2018,2,Peer-to-peer payments,69215,261995613.05
Dadra & Nagar Haveli & Daman & Diu,2018,2,Merchant payments,3544,4685536.04
Dadra & Nagar Haveli & Daman & Diu,2018,2,Financial Services,2996,383806.09
Dadra & Nagar Haveli & Daman & Diu,2018,2,Others,4037,4410224.47
Dadra & Nagar Haveli & Daman & Diu,2018,3,Recharge & bill payments,157113,39790820.29
Dadra & Nagar Haveli & Daman & Diu,2018,3,Peer-to-peer payments,119346,396698085.41
Dadra & Nagar Haveli & Daman & Diu,2018,3,Merchant payments,7465,5693604.74
Dadra & Nagar Haveli & Daman & Diu,2018,3,Financial Services,1477,297647.9
Dadra & Nagar Haveli & Daman & Diu,2018,3,Others,4174,5159437.33
Dadra & Nagar Haveli & Daman & Diu,2018,4,Peer-to-peer payments,194214,582082154.41
Dadra & Nagar Haveli & Daman & Diu,2018,4,Recharge & bill payments,185793,49972030.11
Dadra & Nagar Haveli & Daman & Diu,2018,4,Merchant payments,15739,19577328.04
Dadra & Nagar Haveli & Daman & Diu,2018,4,Financial Services,2996,371674.7
Dadra & Nagar Haveli & Daman & Diu,2018,4,Others,5340,6747429.54
Dadra & Nagar Haveli & Daman & Diu,2019,1,Peer-to-peer payments,408465,757657638.32
Dadra & Nagar Haveli & Daman & Diu,2019,1,Recharge & bill payments,225998,62660761.89
Dadra & Nagar Haveli & Daman & Diu,2019,1,Merchant payments,20694,17043867.89
Dadra & Nagar Haveli & Daman & Diu,2019,1,Financial Services,1645,221064.62
Dadra & Nagar Haveli & Daman & Diu,2019,1,Others,5012,5786443.34
Dadra & Nagar Haveli & Daman & Diu,2019,2,Peer-to-peer payments,244134,734034142.81
Dadra & Nagar Haveli & Daman & Diu,2019,2,Recharge & bill payments,198184,63874445.55
Dadra & Nagar Haveli & Daman & Diu,2019,2,Merchant payments,40781,20816136.24
Dadra & Nagar Haveli & Daman & Diu,2019,2,Financial Services,748,155149.76
Dadra & Nagar Haveli & Daman & Diu,2019,2,Others,5809,5561402.21
Dadra & Nagar Haveli & Daman & Diu,2019,3,Recharge & bill payments,319142,104597035.08
Dadra & Nagar Haveli & Daman & Diu,2019,3,Peer-to-peer payments,249944,821178569.06
Dadra & Nagar Haveli & Daman & Diu,2019,3,Merchant payments,63616,30634658.24
Dadra & Nagar Haveli & Daman & Diu,2019,3,Financial Services,533,425044.05
Dadra & Nagar Haveli & Daman & Diu,2019,3,Others,5516,4636167.42
Dadra & Nagar Haveli & Daman & Diu,2019,4,Recharge & bill payments,351819,125809568.35
Dadra & Nagar Haveli & Daman & Diu,2019,4,Peer-to-peer payments,324464,1051976410.55
Dadra & Nagar Haveli & Daman & Diu,2019,4,Merchant payments,86758,45361559.24
Dadra & Nagar Haveli & Daman & Diu,2019,4,Financial Services,1019,267762.49
Dadra & Nagar Haveli & Daman & Diu,2019,4,Others,4911,3225961.38
Dadra & Nagar Haveli & Daman & Diu,2020,1,Recharge & bill payments,407577,153340696.3
Dadra & Nagar Haveli & Daman & Diu,2020,1,Peer-to-peer payments,329005,1119439489.5
Dadra & Nagar Haveli & Daman & Diu,2020,1,Merchant payments,137040,66713356.8
Dadra & Nagar Haveli & Daman & Diu,2020,1,Financial Services,668,418783.13
Dadra & Nagar Haveli & Daman & Diu,2020,1,Others,4289,2851043.56
Dadra & Nagar Haveli & Daman & Diu,2020,2,Recharge & bill payments,525974,178877986.72
Dadra & Nagar Haveli & Daman & Diu,2020,2,Peer-to-peer payments,323909,1052118443.37
Dadra & Nagar Haveli & Daman & Diu,2020,2,Merchant payments,118801,68938500.71
Dadra & Nagar Haveli & Daman & Diu,2020,2,Financial Services,1826,993268.3
Dadra & Nagar Haveli & Daman & Diu,2020,2,Others,2642,1448254.79
Dadra & Nagar Haveli & Daman & Diu,2020,3,Recharge & bill payments,455603,201223380.19
Dadra & Nagar Haveli & Daman & Diu,2020,3,Peer-to-peer payments,419524,1401020928.23
Dadra & Nagar Haveli & Daman & Diu,2020,3,Merchant payments,257572,143497844.49
Dadra & Nagar Haveli & Daman & Diu,2020,3,Financial Services,1635,1778864.01
Dadra & Nagar Haveli & Daman & Diu,2020,3,Others,3978,2268098.08
Dadra & Nagar Haveli & Daman & Diu,2020,4,Peer-to-peer payments,666995,2153786522.55
Dadra & Nagar Haveli & Daman & Diu,2020,4,Merchant payments,631443,316510115.81
Dadra & Nagar Haveli & Daman & Diu,2020,4,Recharge & bill payments,509971,224246669.78
Dadra & Nagar Haveli & Daman & Diu,2020,4,Financial Services,2453,1683959.51
Dadra & Nagar Haveli & Daman & Diu,2020,4,Others,6929,4283833.19
Dadra & Nagar Haveli & Daman & Diu,2021,1,Peer-to-peer payments,768921,2379220756.22
Dadra & Nagar Haveli & Daman & Diu,2021,1,Merchant payments,705821,367522132.38
Dadra & Nagar Haveli & Daman & Diu,2021,1,Recharge & bill payments,442926,213177144.73
Dadra & Nagar Haveli & Daman & Diu,2021,1,Financial Services,2243,1930008.97
Dadra & Nagar Haveli & Daman & Diu,2021,1,Others,5333,3782868.89
Dadra & Nagar Haveli & Daman & Diu,2021,2,Peer-to-peer payments,843550,2512913026.43
Dadra & Nagar Haveli & Daman & Diu,2021,2,Merchant payments,802899,430487473.93
Dadra & Nagar Haveli & Daman & Diu,2021,2,Recharge & bill payments,471136,208762964.01
Dadra & Nagar Haveli & Daman & Diu,2021,2,Financial Services,1826,1763792.65
Dadra & Nagar Haveli & Daman & Diu,2021,2,Others,5672,3741204.4
Dadra & Nagar Haveli & Daman & Diu,2021,3,Merchant payments,1312241,706774071.94
Dadra & Nagar Haveli & Daman & Diu,2021,3,Peer-to-peer payments,1262732,3339347400.06
Dadra & Nagar Haveli & Daman & Diu,2021,3,Recharge & bill payments,544322,253199754.87
Dadra & Nagar Haveli & Daman & Diu,2021,3,Financial Services,2065,2252116.64
Dadra & Nagar Haveli & Daman & Diu,2021,3,Others,8110,4365759.28
Dadra & Nagar Haveli & Daman & Diu,2021,4,Merchant payments,2013673,1058989463.17
Dadra & Nagar Haveli & Daman & Diu,2021,4,Peer-to-peer payments,1577168,4202291071.71
Dadra & Nagar Haveli & Daman & Diu,2021,4,Recharge & bill payments,551618,294991582.17
Dadra & Nagar Haveli & Daman & Diu,2021,4,Financial Services,2909,3159306.42
Dadra & Nagar Haveli & Daman & Diu,2021,4,Others,11717,6407962.87
Dadra & Nagar Haveli & Daman & Diu,2022,1,Merchant payments,2507246,1227972829.7
Dadra & Nagar Haveli & Daman & Diu,2022,1,Peer-to-peer payments,1745454,4674787017.54
Dadra & Nagar Haveli & Daman & Diu,2022,1,Recharge & bill payments,538134,326296370.82
Dadra & Nagar Haveli & Daman & Diu,2022,1,Financial Services,2574,2661345.55
Dadra & Nagar Haveli & Daman & Diu,2022,1,Others,9395,5330803.65
Dadra & Nagar Haveli & Daman & Diu,2022,2,Merchant payments,3346697,1536859131.34
Dadra & Nagar Haveli & Daman & Diu,2022,2,Peer-to-peer payments,1861799,5078832140.61
Dadra & Nagar Haveli & Daman & Diu,2022,2,Recharge & bill payments,539562,372921225.43
Dadra & Nagar Haveli & Daman & Diu,2022,2,Financial Services,1849,2131607.72
Dadra & Nagar Haveli & Daman & Diu,2022,2,Others,9864,4415675.72
Dadra & Nagar Haveli & Daman & Diu,2022,3,Merchant payments,3777156,1705567002.06
Dadra & Nagar Haveli & Daman & Diu,2022,3,Peer-to-peer payments,2086741,5382949597.51
Dadra & Nagar Haveli & Daman & Diu,2022,3,Recharge & bill payments,592431,425206924.53
Dadra & Nagar Haveli & Daman & Diu,2022,3,Financial Services,2237,3194409.94
Dadra & Nagar Haveli & Daman & Diu,2022,3,Others,7056,3729425.46
Dadra & Nagar Haveli & Daman & Diu,2022,4,Merchant payments,4415771,1889046056.2
Dadra & Nagar Haveli & Daman & Diu,2022,4,Peer-to-peer payments,2215052,5737539058.4
Dadra & Nagar Haveli & Daman & Diu,2022,4,Recharge & bill payments,548795,426040023.11
Dadra & Nagar Haveli & Daman & Diu,2022,4,Financial Services,2495,3169199.26
Dadra & Nagar Haveli & Daman & Diu,2022,4,Others,7472,3846409.11
Dadra & Nagar Haveli & Daman & Diu,2023,1,Merchant payments,7184933,2778820380.0
Dadra & Nagar Haveli & Daman & Diu,2023,1,Peer-to-peer payments,3623830,9079653826.0
Dadra & Nagar Haveli & Daman & Diu,2023,1,Recharge & bill payments,979503,746971431.0
Dadra & Nagar Haveli & Daman & Diu,2023,1,Financial Services,3546,2855684.0
Dadra & Nagar Haveli & Daman & Diu,2023,1,Others,12173,5789879.0
Dadra & Nagar Haveli & Daman & Diu,2023,2,Merchant payments,8331573,3135694669.0
Dadra & Nagar Haveli & Daman & Diu,2023,2,Peer-to-peer payments,3962990,9804533561.0
Dadra & Nagar Haveli & Daman & Diu,2023,2,Recharge & bill payments,1046280,800283519.0
Dadra & Nagar Haveli & Daman & Diu,2023,2,Financial Services,3985,4431276.0
Dadra & Nagar Haveli & Daman & Diu,2023,2,Others,12287,5595163.0
Dadra & Nagar Haveli & Daman & Diu,2023,3,Merchant payments,9582597,3564710651.0
Dadra & Nagar Haveli & Daman & Diu,2023,3,Peer-to-peer payments,4630867,10642329946.0
Dadra & Nagar Haveli & Daman & Diu,2023,3,Recharge & bill payments,1139193,878917740.0
Dadra & Nagar Haveli & Daman & Diu,2023,3,Financial Services,5572,5268269.0
Dadra & Nagar Haveli & Daman & Diu,2023,3,Others,12099,4839857.0
Dadra & Nagar Haveli & Daman & Diu,2023,4,Merchant payments,11765508,4318758826.0
Dadra & Nagar Haveli & Daman & Diu,2023,4,Peer-to-peer payments,5347152,12234383845.0
Dadra & Nagar Haveli & Daman & Diu,2023,4,Recharge & bill payments,1169931,991997355.0
Dadra & Nagar Haveli & Daman & Diu,2023,4,Financial Services,5597,7765262.0
Dadra & Nagar Haveli & Daman & Diu,2023,4,Others,14185,5154679.0
Dadra & Nagar Haveli & Daman & Diu,2024,1,Merchant payments,13631073,4791513247.0
Dadra & Nagar Haveli & Daman & Diu,2024,1,Peer-to-peer payments,6113627,13576602170.0
Dadra & Nagar Haveli & Daman & Diu,2024,1,Recharge & bill payments,1353851,1135863865.0
Dadra & Nagar Haveli & Daman & Diu,2024,1,Financial Services,6748,10924778.0
Dadra & Nagar Haveli & Daman & Diu,2024,1,Others,9710,4292265.0
Dadra & Nagar Haveli & Daman & Diu,2024,2,Merchant payments,15510300,5152049102.0
Dadra & Nagar Haveli & Daman & Diu,2024,2,Peer-to-peer payments,6493955,14085735502.0
Dadra & Nagar Haveli & Daman & Diu,2024,2,Recharge & bill payments,1370838,1073613414.0
Dadra & Nagar Haveli & Daman & Diu,2024,2,Financial Services,7715,10300178.0
Dadra & Nagar Haveli & Daman & Diu,2024,2,Others,10307,7294515.0
Dadra & Nagar Haveli & Daman & Diu,2024,3,Merchant payments,16778218,5563348577.0
Dadra & Nagar Haveli & Daman & Diu,2024,3,Peer-to-peer payments,7251757,14881287713.0
Dadra & Nagar Haveli & Daman & Diu,2024,3,Recharge & bill payments,1397428,1094723407.0
Dadra & Nagar Haveli & Daman & Diu,2024,3,Financial Services,10550,15369479.0
Dadra & Nagar Haveli & Daman & Diu,2024,3,Others,8317,9902390.0
Dadra & Nagar Haveli & Daman & Diu,2024,4,Merchant payments,19213230,6331132984.0
Dadra & Nagar Haveli & Daman & Diu,2024,4,Peer-to-peer payments,7882319,16487512787.0
Dadra & Nagar Haveli & Daman & Diu,2024,4,Recharge & bill payments,1336160,1107688213.0
Dadra & Nagar Haveli & Daman & Diu,2024,4,Financial Services,25423,12601733.0
Dadra & Nagar Haveli & Daman & Diu,2024,4,Others,6568,6285744.0
Delhi,2018,1,Recharge & bill payments,3947297,1320559612.77
Delhi,2018,1,Peer-to-peer payments,2380820,9125685134.89
Delhi,2018,1,Merchant payments,339809,375393115.19
Delhi,2018,1,Financial Services,136240,45588429.27
Delhi,2018,1,Others,318588,344277514.79
Delhi,2018,2,Recharge & bill payments,4511737,2078183615.8
Delhi,2018,2,Peer-to-peer payments,3542716,14348179103.11
Delhi,2018,2,Merchant payments,837001,631597790.6
Delhi,2018,2,Financial Services,205991,66584728.2
Delhi,2018,2,Others,276278,321754664.5
Delhi,2018,3,Peer-to-peer payments,8557153,22670122888.87
Delhi,2018,3,Recharge & bill payments,5305635,3261844270.54
Delhi,2018,3,Merchant payments,3808395,1048422633.71
Delhi,2018,3,Financial Services,274526,45051151.35
Delhi,2018,3,Others,601339,350405916.15
Delhi,2018,4,Peer-to-peer payments,9973249,32389252494.76
Delhi,2018,4,Merchant payments,9958967,2738429838.94
Delhi,2018,4,Recharge & bill payments,7483633,3961160542.57
Delhi,2018,4,Financial Services,265004,58162003.44
Delhi,2018,4,Others,1506866,575852739.0
Delhi,2019,1,Peer-to-peer payments,20216287,48250023720.99
Delhi,2019,1,Merchant payments,13875931,3996618719.8
Delhi,2019,1,Recharge & bill payments,10744978,5521320539.36
Delhi,2019,1,Financial Services,223095,30997039.7
Delhi,2019,1,Others,1947036,670171769.65
Delhi,2019,2,Merchant payments,20891431,6816878922.84
Delhi,2019,2,Peer-to-peer payments,20570311,65953571241.26
Delhi,2019,2,Recharge & bill payments,12869453,8035701902.39
Delhi,2019,2,Financial Services,137774,33985068.68
Delhi,2019,2,Others,2702543,866678928.44
Delhi,2019,3,Merchant payments,29453368,9857221391.94
Delhi,2019,3,Peer-to-peer payments,25201978,81904443496.3
Delhi,2019,3,Recharge & bill payments,11133404,10406524192.88
Delhi,2019,3,Financial Services,92061,27952186.99
Delhi,2019,3,Others,3657065,1000670778.35
Delhi,2019,4,Peer-to-peer payments,33040093,105858524152.38
Delhi,2019,4,Merchant payments,32537378,12864577363.07
Delhi,2019,4,Recharge & bill payments,11609898,9500486080.99
Delhi,2019,4,Financial Services,57063,21512527.97
Delhi,2019,4,Others,3500565,779367300.47
Delhi,2020,1,Merchant payments,33951545,14470782771.05
Delhi,2020,1,Peer-to-peer payments,32410795,108987600006.37
Delhi,2020,1,Recharge & bill payments,12822919,9498791147.93
Delhi,2020,1,Financial Services,46529,39908838.25
Delhi,2020,1,Others,2515816,619460878.99
Delhi,2020,2,Peer-to-peer payments,27155938,86227124454.1
Delhi,2020,2,Merchant payments,24963931,12708327043.87
Delhi,2020,2,Recharge & bill payments,13568505,8699886044.04
Delhi,2020,2,Financial Services,64790,75405868.16
Delhi,2020,2,Others,288854,162694793.16
Delhi,2020,3,Peer-to-peer payments,41498638,140074023548.16
Delhi,2020,3,Merchant payments,40973792,21858176583.06
Delhi,2020,3,Recharge & bill payments,13448341,12883226305.34
Delhi,2020,3,Financial Services,85689,114341865.26
Delhi,2020,3,Others,485401,234194502.84
Delhi,2020,4,Merchant payments,54581166,31106554562.8
Delhi,2020,4,Peer-to-peer payments,49631928,171546055992.15
Delhi,2020,4,Recharge & bill payments,14862946,12921793576.58
Delhi,2020,4,Financial Services,114862,160007919.77
Delhi,2020,4,Others,1349515,530676173.25
Delhi,2021,1,Merchant payments,72615587,39861532639.01
Delhi,2021,1,Peer-to-peer payments,61957428,210823551741.41
Delhi,2021,1,Recharge & bill payments,21164274,15447408658.78
Delhi,2021,1,Financial Services,153039,203106852.42
Delhi,2021,1,Others,1468676,592745151.87
Delhi,2021,2,Merchant payments,75620295,42933366743.24
Delhi,2021,2,Peer-to-peer payments,68497718,223034955527.75
Delhi,2021,2,Recharge & bill payments,25026678,15310096462.75
Delhi,2021,2,Financial Services,158170,190019761.5
Delhi,2021,2,Others,854403,472659189.31
Delhi,2021,3,Merchant payments,115250887,64006915630.53
Delhi,2021,3,Peer-to-peer payments,93292876,298005532606.47
Delhi,2021,3,Recharge & bill payments,28427032,20934734871.91
Delhi,2021,3,Financial Services,144460,220660990.22
Delhi,2021,3,Others,1645353,690472449.15
Delhi,2021,4,Merchant payments,149204611,88990516304.07
Delhi,2021,4,Peer-to-peer payments,112380292,376556972334.16
Delhi,2021,4,Recharge & bill payments,30127352,22290161823.25
Delhi,2021,4,Financial Services,199280,287950130.25
Delhi,2021,4,Others,771824,569713470.66
Delhi,2022,1,Merchant payments,174454937,98212381475.57
Delhi,2022,1,Peer-to-peer payments,125111881,415305045689.31
Delhi,2022,1,Recharge & bill payments,29435981,22482865572.9
Delhi,2022,1,Financial Services,195184,271039329.11
Delhi,2022,1,Others,1801878,693588769.39
Delhi,2022,2,Merchant payments,233412802,121657706565.01
Delhi,2022,2,Peer-to-peer payments,143447534,480685895058.71
Delhi,2022,2,Recharge & bill payments,32971294,26876059610.02
Delhi,2022,2,Financial Services,160827,209425798.82
Delhi,2022,2,Others,641727,426563425.65
Delhi,2022,3,Merchant payments,276635347,134292748569.06
Delhi,2022,3,Peer-to-peer payments,160580425,509428627035.34
Delhi,2022,3,Recharge & bill payments,37572389,33177115465.46
Delhi,2022,3,Financial Services,195218,265479580.42
Delhi,2022,3,Others,608782,448676465.83
Delhi,2022,4,Merchant payments,305621913,153114813286.24
Delhi,2022,4,Peer-to-peer payments,171970100,559069397370.86
Delhi,2022,4,Recharge & bill payments,36775874,31954251758.09
Delhi,2022,4,Financial Services,228639,299454652.78
Delhi,2022,4,Others,606931,477098950.6
Delhi,2023,1,Merchant payments,246682850,116053064134.0
Delhi,2023,1,Peer-to-peer payments,135403837,460727324748.0
Delhi,2023,1,Recharge & bill payments,26976608,33945163887.0
Delhi,2023,1,Financial Services,206979,275072622.0
Delhi,2023,1,Others,482829,402484189.0
Delhi,2023,2,Merchant payments,300493650,126927948779.0
Delhi,2023,2,Peer-to-peer payments,151909146,498879007930.0
Delhi,2023,2,Recharge & bill payments,29059235,35251178665.0
Delhi,2023,2,Financial Services,219538,302441499.0
Delhi,2023,2,Others,457429,367938784.0
Delhi,2023,3,Merchant payments,347213404,143772297471.0
Delhi,2023,3,Peer-to-peer payments,167791074,523701514112.0
Delhi,2023,3,Recharge & bill payments,31015600,39925428804.0
Delhi,2023,3,Financial Services,275512,439989766.0
Delhi,2023,3,Others,411393,360021285.0
Delhi,2023,4,Merchant payments,381250463,168766495844.0
Delhi,2023,4,Peer-to-peer payments,185276322,588131157564.0
Delhi,2023,4,Recharge & bill payments,30903762,41889435437.0
Delhi,2023,4,Financial Services,317005,501353917.0
Delhi,2023,4,Others,403194,361276587.0
Delhi,2024,1,Merchant payments,419098312,183390284466.0
Delhi,2024,1,Peer-to-peer payments,197330105,604445932793.0
Delhi,2024,1,Recharge & bill payments,33501160,43595822485.0
Delhi,2024,1,Financial Services,319041,606216973.0
Delhi,2024,1,Others,485440,475774396.0
Delhi,2024,2,Merchant payments,519857504,208928942309.0
Delhi,2024,2,Peer-to-peer payments,221272475,641147355249.0
Delhi,2024,2,Recharge & bill payments,35429237,45318295969.0
Delhi,2024,2,Financial Services,376570,743336505.0
Delhi,2024,2,Others,604614,779746148.0
Delhi,2024,3,Merchant payments,564668341,231032600851.0
Delhi,2024,3,Peer-to-peer payments,242786329,672922448569.0
Delhi,2024,3,Recharge & bill payments,36462771,52504961937.0
Delhi,2024,3,Financial Services,463025,936446162.0
Delhi,2024,3,Others,464057,806926069.0
Delhi,2024,4,Merchant payments,612111214,261167204054.0
Delhi,2024,4,Peer-to-peer payments,261559240,745874399814.0
Delhi,2024,4,Recharge & bill payments,35326994,48224664984.0
Delhi,2024,4,Financial Services,1115510,932800641.0
Delhi,2024,4,Others,430124,861416410.0
Goa,2018,1,Recharge & bill payments,85991,18273814.16
Goa,2018,1,Peer-to-peer payments,59651,268175048.07
Goa,2018,1,Merchant payments,7880,11036031.74
Goa,2018,1,Financial Services,1191,520105.64
Goa,2018,1,Others,6184,5851742.73
Goa,2018,2,Recharge & bill payments,120943,30994284.17
Goa,2018,2,Peer-to-peer payments,87878,419492232.52
Goa,2018,2,Merchant payments,12456,20162855.71
Goa,2018,2,Financial Services,1903,733429.43
Goa,2018,2,Others,6395,7221023.53
Goa,2018,3,Recharge & bill payments,158797,40314972.94
Goa,2018,3,Peer-to-peer payments,150297,639468418.13
Goa,2018,3,Merchant payments,21587,26634198.18
Goa,2018,3,Financial Services,1867,468171.36
Goa,2018,3,Others,6963,6281208.62
Goa,2018,4,Peer-to-peer payments,246426,1021902315.44
Goa,2018,4,Recharge & bill payments,212122,54832855.89
Goa,2018,4,Merchant payments,45586,66666113.92
Goa,2018,4,Financial Services,2523,723599.23
Goa,2018,4,Others,8098,8880194.43
Goa,2019,1,Peer-to-peer payments,378848,1310759847.81
Goa,2019,1,Recharge & bill payments,275277,78212835.04
Goa,2019,1,Merchant payments,74527,75946974.41
Goa,2019,1,Financial Services,2013,499592.1
Goa,2019,1,Others,8147,9904147.91
Goa,2019,2,Peer-to-peer payments,373759,1391933790.75
Goa,2019,2,Recharge & bill payments,278060,93218689.42
Goa,2019,2,Merchant payments,104592,92873008.65
Goa,2019,2,Financial Services,1211,515859.81
Goa,2019,2,Others,10819,13325754.76
Goa,2019,3,Peer-to-peer payments,475178,1704668027.02
Goa,2019,3,Recharge & bill payments,453806,157952854.95
Goa,2019,3,Merchant payments,150578,123948570.57
Goa,2019,3,Financial Services,1510,1282344.84
Goa,2019,3,Others,11344,12515394.12
Goa,2019,4,Peer-to-peer payments,698728,2484453030.32
Goa,2019,4,Recharge & bill payments,552421,205602115.15
Goa,2019,4,Merchant payments,250893,218404664.86
Goa,2019,4,Financial Services,1497,649712.85
Goa,2019,4,Others,11733,14350825.33
Goa,2020,1,Peer-to-peer payments,817198,2851686768.65
Goa,2020,1,Recharge & bill payments,678079,244739382.21
Goa,2020,1,Merchant payments,373110,298421548.1
Goa,2020,1,Financial Services,1762,1816477.57
Goa,2020,1,Others,11088,13707055.39
Goa,2020,2,Recharge & bill payments,758617,241196540.94
Goa,2020,2,Peer-to-peer payments,493326,1766723888.2
Goa,2020,2,Merchant payments,221358,168591711.95
Goa,2020,2,Financial Services,3081,3328361.32
Goa,2020,2,Others,5710,3775927.61
Goa,2020,3,Peer-to-peer payments,759351,2723430713.34
Goa,2020,3,Recharge & bill payments,696770,280187505.03
Goa,2020,3,Merchant payments,446880,353193881.48
Goa,2020,3,Financial Services,4985,6418950.47
Goa,2020,3,Others,7545,5112530.62
Goa,2020,4,Peer-to-peer payments,1550251,5407626413.04
Goa,2020,4,Merchant payments,1389834,1123844212.52
Goa,2020,4,Recharge & bill payments,839199,345088772.38
